Data de emissão,Chave MDF-e,Nº Termo Averiguação,Chave da NF-e,Nº do CT-e,Nº da NFe
21/06/2025,,1098690,53250604676768000483550010001313601989414262,148060,131360
21/06/2025,,1098691,31250604749459000143550100006178881000042198,4557482,617888
21/06/2025,,1098692,31250610588201000105550030024322391857530980,4557482,2432239
21/06/2025,,1098692,31250610588201000105550030024323041895691503,4557482,2432304
21/06/2025,,1098692,31250610588201000105550030024335771027863210,4557482,2433577
21/06/2025,,1098692,31250610588201000105550030024337381705862179,4557482,2433738
21/06/2025,,1098692,31250610588201000105550030024340871634936451,4557482,2434087
21/06/2025,,1098693,52250640166342000109550010002836331321438031,567284,283633
21/06/2025,,1098694,25250653598005000124550010000041321500378321,402371,4132
21/06/2025,,1098696,31250610588201000105550030024334671252312844,4557482,2433467
